calibration_fraction,experiments,median_calibration_points,median_calibration_factor,median_calibrated_rmse_mm,median_uncalibrated_rmse_mm,mean_calibrated_rmse_mm,mean_uncalibrated_rmse_mm,median_final_calibrated_abs_error_mm,median_final_uncalibrated_abs_error_mm
0.25,7,5.0,0.7340017102919836,0.05045000219836613,0.04047203561982396,0.07219282096827752,0.06849274237173834,0.07498021192111244,0.06075829061385549
0.4,8,4.5,0.7792092622090803,0.047499651783979205,0.025082202627432184,0.05039391124566231,0.03562577374935972,0.06926358811808585,0.039416862066353114
0.6,8,7.0,0.9129288505591447,0.0422980322794462,0.028194433080366815,0.04284502453797399,0.038930402645026875,0.05253439285231365,0.039416862066353114
