scenario,label,speed_rpm,feed_mm_tooth,depth_mm,draws,mean_life_min,q025_life_min,q250_life_min,median_life_min,q750_life_min,q975_life_min
low_load,Low load,1750.0,0.045,2.5,500,116.5642651152219,59.79705425633978,97.11556983797782,103.64365099899766,120.25626751806567,247.6751684990225
baseline,Baseline,1800.0,0.05,3.0,500,49.365632270910226,37.42207664769262,43.9665697152191,50.22664548221849,54.45286389880124,61.176836325625686
high_load,High load,1850.0,0.055,3.5,500,25.155395734218278,11.514275314845884,20.94566645993885,24.98658782578572,30.312465206505205,38.046186100552966
