parameter,count,mean,std,q025,q250,median,q750,q975
k_early,500,0.018236791288459803,0.001756363778264558,0.015580539194808635,0.016867693754569285,0.017825843467421103,0.01953104455689953,0.021827846989032437
speed_exponent,500,1.1752553111498083,4.621118067379826,-7.4980759530435614,-2.4509782783177494,1.167394461841062,5.302354595401878,8.044243549284547
feed_exponent,500,3.921110532410669,1.2243174348245731,2.04563423524932,2.80666445499667,3.9924294203141555,4.612708363693136,6.6802111708417975
depth_exponent,500,0.5619856939531863,0.711099813579623,-0.5901239151730372,-0.023688445332839536,0.5195651849163825,1.0602240197896604,1.9247306963865851
amplitude_r2,500,0.8816218261992638,0.09904002757437619,0.655446177123395,0.8196892123382222,0.897145631612403,0.9669530002761191,0.9980520375455648
