bootstrap_id,attempt_id,sigma,intercept,log_speed_ref,log_feed_ref,log_depth_ref
0,1,0.19477442872629985,3.6498440603108384,-1.4214664425555672,-2.7264091471258283,2.099883613232076
1,2,1.212546349712017e-05,2.7286922809989234,-1.7328775502445266,-5.794874398865979,-1.226818461031004
2,3,0.10062601599834069,3.75230028068559,-2.760811953107371,-3.2359703350878872,3.114034804347882
3,4,0.4807566935572846,3.056305554335159,-0.19252050064458567,-1.5166759384532604,-0.6856932107907012
4,5,1.476578533133208e-06,2.845910884891721,0.6361066348674246,-4.343769408238013,-2.451478452601053
5,6,0.6271090310911925,3.3343031577975806,0.013108980998402468,-1.6829055657545913,-1.0802120949771274
6,7,0.6079879240593324,3.4946633965251173,0.1853915723210394,-1.0352510982717913,-0.8211497923803167
7,8,0.12707725943874484,3.2153258470543826,-1.7470474317191362,-3.0765257926185203,0.26224973085305675
8,9,1.543140243216009e-05,3.8071821500718683,-2.0405194990253053,0.1147233355748525,4.642260495977453
9,10,1.4722617153027803e-05,3.821329249930875,-1.5375784935141745,-2.260046035813356,3.987908345715528
10,11,0.4486422262653948,3.1217743594047014,-0.2014502157300962,-2.2450678277789584,-0.32499418699708077
11,12,0.4350196170952571,3.165891519284993,-0.28538822481710685,-2.2819400779926022,-0.9490655269028716
12,13,0.5866568701443869,3.240362385354747,0.005928920013760753,-1.118807328446628,-0.44923252954078063
13,14,0.4760953012864979,3.217829622609796,-0.1470767966443088,-2.188212665412017,-0.698044632431165
14,15,0.6027530020152281,3.2103007183864567,0.053500738466111857,-1.6841391682831859,-1.2617085119325264
15,16,0.5763609017057074,3.234115495860195,0.12492429689214539,-1.532220900492822,0.05646866999790724
16,17,0.28552503011929314,3.702974848399723,-0.8376252710034879,-0.6981019940092941,1.5514889392314157
17,18,0.6022746992748855,3.5224553079110175,0.22268282693182848,-1.1847789021382935,-0.6856423455355792
18,19,0.563018339724088,3.029836751182833,-0.012180858168667858,-1.6505461313992753,-0.5957999466261612
19,20,7.958984149420522e-07,2.8540239427929177,0.9193356912778615,-4.38354869676564,-2.4277542240801058
20,21,4.961988063064353e-06,2.821374872934592,-0.6165782595757092,-7.530646635913556,-0.5508283688588033
21,22,0.6173792902934904,3.117900703197268,-0.15532943861684975,-1.473865135307448,-0.9956711908722115
22,23,1.1078110951131136e-08,2.8538348643004845,0.9127571060858446,-4.382616726783762,-2.4283102692266327
23,24,0.14271316338683673,2.8306205302053953,-0.481930600933064,-4.459921294958135,-1.9045300528811773
24,25,9.186565299121698e-09,2.8538348838525898,0.9127571346514045,-4.382616757150103,-2.4283102318836693
25,26,0.17647068465540672,2.8285975916688666,-0.5226678351297888,-3.3948656525693623,-1.6240296153104636
26,27,0.4647530373503886,3.0818272616915037,0.07470570710100372,-2.182746792280528,-1.7665661984274454
27,28,0.4823701618123922,3.1638382311297533,-0.12670103461258517,-1.83995946507276,-0.724860279025076
28,29,6.45175895355668e-08,3.602530838760565,-9.305096032443833,-2.948198030086847,2.428003877977785
29,30,0.6237047676535528,3.2694830149998877,-0.06460591489065415,-1.1010263114693914,-0.1854401999623364
30,31,2.16101147507315e-05,2.833600521770122,0.7521415429423779,-1.470973454930561,-0.2780052155344996
31,32,4.052918867868418e-08,2.719922540647768,-4.003952029364955,-5.744158140616817,-1.6162922546376726
32,33,0.17746297317975582,2.909305913107803,-0.2522057454600114,-4.309824107031397,-1.5271535879738745
33,34,1.0252375141364986e-05,3.8002106853178335,-2.287361389837723,-3.933308901914251,2.9971523748705216
34,35,1.6127335845897235e-05,2.8342453974385946,0.19313386275265862,-4.581990702601462,-2.3094825922640614
35,36,0.4406056988507611,2.923697477201901,-0.1695812455368422,-0.9729667684242201,-0.4221410286948318
36,37,1.3009085155127535e-05,3.8372853266177547,-0.972021330542582,-4.117826805250335,3.10407855687141
37,38,0.47898950222203807,3.1296225854280753,-0.15564659071634288,-1.9527576135430824,-0.5425447100455872
38,39,0.05044001038422421,2.5666990262273797,0.6362430513307209,-1.3369543884787427,-2.1817608452762496
39,40,1.86987138147433e-05,3.7960047368859198,-2.4378251664191075,-0.9742344047721941,4.521204070961092
40,41,0.6004533155319408,3.2565390959305773,0.03311835920204453,-1.2323560102001712,-0.07830966572036681
41,42,0.2992353361330394,3.498766284447695,-0.5091587198913052,-1.2282636503893891,0.8903151966010745
42,43,0.5585173200620525,3.303969357866994,0.1317878129065113,-1.614157422283067,-0.5988832514124228
43,44,0.4732764907157437,2.980514265888445,0.01737721273235506,-2.1306047034112483,-1.0970302257424953
44,45,2.089997940021552e-05,3.808207328740203,-2.0034363627928293,-3.9732923989267315,3.020284838082706
45,46,2.6429183861730895e-05,3.7056394300465962,-5.645811803541525,-4.878150356173678,3.5435198620021544
46,47,2.2148055067004605e-05,3.781773718955479,-2.9440279956357123,-1.1193311092364815,4.367127542647808
47,48,2.096268110703071e-05,3.7896987622766924,-2.660883058355804,-3.8808949979974345,2.96691832805751
48,49,2.3339256424331833e-05,3.77874023574683,-3.050621749605315,-1.1507011722108178,4.334258972052179
49,50,1.55558560350286e-05,3.6890636607464447,-6.232640366156328,-4.568518508435092,3.364351538546665
50,51,0.13449422602400965,2.677300085711564,-1.726000412690199,-3.135326334335158,-2.318979318232494
51,52,0.6369001714920973,3.2738342783851344,0.08506664133197883,-1.1297313520346597,-0.2885588936843511
52,53,2.6716715153961573e-05,3.6933824062831953,-6.080360405071705,-4.649159755719147,3.410916195842202
53,54,0.09724559139222895,3.762021450031002,-2.8631224329663967,-3.271199876920955,3.179037852976982
54,55,0.1487328262516279,2.8049093802311202,-0.15111622774190875,-4.0797800056736175,-1.8587320498263658
55,56,0.16467989178264436,2.872227777754634,-0.7559483100425008,-4.503368753843472,-1.398455034398331
56,57,0.431557398267517,3.1891960818705685,-0.0076729206932562855,-2.6249370295519543,-0.6549784859680721
57,58,0.1970693772872316,2.840327214530388,0.8652424948384999,-2.7756305792687495,-1.0949686701939298
58,59,0.6643566609979931,3.70584670928746,0.22291574779174436,-1.3592956996360703,-0.9303607143357772
59,60,0.15468669620752737,2.774504248768592,-0.96829288197433,-4.103991943289879,-1.841109348737829
60,61,1.3990788181341914e-05,3.8198826704647555,-1.5895323871600346,-4.031150510496927,3.053938022456671
61,62,2.2035424298951092e-07,2.845606211626393,0.6254841161517539,-4.342287047516591,-2.4523608569111137
62,63,3.6804517953672607e-06,2.854431689878101,0.9334812246393364,-4.385509530590041,-2.4265571825014627
63,64,0.1557660085786667,3.2366168171377985,-1.291446793668004,-2.892398851014968,0.390687515356492
64,65,0.12963679434304243,2.8154854586901616,-0.6062467479531009,-4.41059350011155,-1.9517178170612708
65,66,2.2499616880883404e-05,2.8622630904001163,0.4131918889375038,-4.312579052447566,-2.3453503775687645
66,67,0.58622634975579,3.1809707937004204,-0.030737210145899946,-1.5939688512020658,-1.2006651892320055
67,68,1.442710473728728e-05,3.729017372420977,-4.815033632993347,-5.316065760549714,3.7963150891482416
68,69,0.6077234359842826,3.418136281661211,0.011582828341385487,-1.3588735972883073,-0.2940095845045284
69,70,0.5249949762956139,3.106361750378172,-0.1348246437288674,-1.2495379318479494,-0.6329334524881283
70,71,1.6550111420030373e-05,3.80681402494409,-2.0534513174119793,-0.8632337852996809,4.638402897031448
71,72,5.8512495236185705e-06,2.9126106283262914,0.9051409806922766,-0.013098592516910854,0.17826156423644024
72,73,0.5426465749933079,2.9479068836886597,0.12619058022714602,-2.33679424707981,-1.5732623120583067
73,74,6.483957455025666e-09,2.845605459606743,0.6254645672657348,-4.342285588450307,-2.4523635440433895
74,75,0.5796980451348298,2.979581875648431,-0.1445085645047616,-1.6115152792703091,-1.4459847062390256
75,76,0.5395102626184394,3.0388545855205042,0.08187519246969212,-2.052146031044541,-0.6571713240408953
76,77,1.678256381593952e-05,3.830920304538525,-1.1983935628871323,-2.473250750595938,3.9290371183801653
77,78,0.5627983138784458,3.2460754217985315,0.09302172884894785,-1.7251052242515947,-0.32755218670665626
78,79,1.27313782706508e-05,3.822597819722924,-1.4935874735625527,0.604986902745744,0.374687666494626
79,80,0.10028221442050904,2.7213761967561565,-1.8251501710699025,-3.6696215618764843,-2.3508822208966547
80,81,0.5417717120950236,2.9022677968377923,0.06791774183343917,-1.0241411918519554,-0.7873300944993604
81,82,0.43382476783762847,3.218460975835343,0.027576372588767998,-2.086592802278507,-1.1005518641802288
82,83,0.6249818950766671,3.1014743696834324,0.32383289989234015,-1.497354558704165,-0.565523776688366
83,84,1.605749987070562e-07,2.8193216588005727,-0.6852365233004377,-7.494533757513608,-0.5723769233479749
84,85,1.2694499027210016e-05,3.8118482610167352,-1.8748567288270355,-0.023001701427999337,4.692521507571742
85,86,3.5302935583654105e-06,2.8477708736594116,0.7009467959977889,-4.352919632377314,-2.4460230208130582
86,87,0.5068186050431556,3.162107812310182,-0.21864030127050366,-1.6218044675893117,-0.6015148893228499
87,88,0.4960053550353882,3.28484790196984,-0.054029009606156565,-2.2625397445923827,-0.28290704771340847
88,89,1.6148134450976802e-05,3.8090316511925337,-1.9739715316014226,-3.977432617851126,3.022548550597837
89,90,0.4321100010155885,3.1447814379695886,0.17270007512050478,-1.9455966276054886,-2.132487930840258
90,91,2.2657691160951653e-08,2.850389699083894,1.2223384519882214,-4.296887597403976,-2.4023906373511177
91,92,0.17946854557230282,2.80019361787314,0.800927196302158,-2.656781071878449,-0.9611028860453245
92,93,2.62812165085124e-05,3.186617841224237,-2.8986355442305776,-1.106383884268126,1.1095372852382226
93,95,0.17025428851712976,3.149154771807489,-1.5105118858295008,-2.598853879788408,0.19431890369306545
94,96,0.14886217418503114,3.6847289015941516,-1.738522933667075,-2.9273142859790715,2.69370422573951
95,97,0.6391510947889323,3.3470829102583477,-0.2822066450948246,-0.6941812629978531,-0.10177509839730607
96,98,4.5389085177417696e-08,3.6025308208611087,-9.305097879811438,-2.948197728760421,2.4280037465455258
97,99,0.1316358269620267,3.2010032447913987,-1.9128798387473103,-3.4265985821121205,0.001516798815399198
98,100,1.29065382392205e-07,2.719923140922227,-4.003937825243243,-5.744166699398213,-1.6162865709851435
99,101,0.6402097685825455,3.4422938111335917,0.004422732636767501,-1.2012753474292246,-0.49404571743149023
100,102,9.14759123862062e-06,3.2408471657936873,-1.104727579465085,-0.5910104296124516,1.67654887700219
101,103,8.841976109826775e-06,3.8605492400856884,-0.14604266851673883,0.30876653379396984,0.545923620830535
102,104,0.5141342143250363,3.1117765404751037,0.08128270167941773,-2.5388991755641395,-0.9686017663260321
103,105,0.42709787995199067,2.9698648200892324,-0.3365430643853497,-2.20576984299322,-1.8223592304628413
104,106,0.5594575354441945,3.238555201876266,0.10968730450507357,-1.3350739362672543,-0.6392036216416458
105,107,2.1655402416891732e-05,3.7885899887421233,-2.70103510217318,-3.875112380250827,2.963847314559989
106,108,0.19345171693343177,3.651249792536381,-1.432266922957919,-2.7399332440860964,2.1120379211653706
107,109,0.6883514031042013,3.2431628971709068,0.23288232021137056,-1.785811670087918,-0.5660228378886033
108,110,0.5576650369297591,3.2809941933047746,-0.013857958832806704,-1.7476949348507598,0.16726211034926003
109,111,0.5271199622286373,3.0275084741944993,0.06713027228395813,-1.4669098269852996,-1.4280573486738641
110,112,0.6516749762453772,3.4851921509875785,0.1993792216529307,-1.7654289062727075,-0.24021354193285377
111,113,3.7546710136050636e-07,2.819345782168155,-0.6844381709601428,-7.4949481661399835,-0.5721261057516214
112,114,0.502833463047004,2.8492018775836105,0.00742296922078442,-1.0339509642813314,-0.8811652453583628
113,115,0.24206942152244615,3.2105658071203944,-0.6723521284828493,-1.9852505725848888,0.22005792262898755
114,116,0.18846599702384711,3.332228641816683,-0.9697232581358423,-2.6362899965235567,0.8123185691255737
115,117,0.12891078607745687,3.224073264806212,-1.9549193705548689,-3.451887066435194,0.12498143706947613
116,118,0.4972789982789323,2.8944181615696905,0.22214565478189904,-2.522158845209837,-1.3695653526150895
117,119,1.603522650093173e-05,3.825807638591299,-1.3784391122413269,-2.434619174360063,3.921036174620276
118,120,4.9342661806408405e-05,3.194160896950167,-0.6117553266811784,-4.168898597453143,-0.4497155586102919
119,121,0.5881387753745196,3.3496928145349827,0.03673370071478235,-1.327072215342678,-0.5021268670952208
120,122,2.48883498144669e-08,3.602530816112022,-9.305097713235853,-2.9481973061950013,2.4280036759467913
121,123,2.0436845488162618e-05,3.7248087018059315,-4.9650938786075445,-5.236831880866135,3.750754264287588
122,124,0.20814075452295822,2.887575921288608,0.1340561525298202,-3.414987356900971,-1.401411705877175
123,125,0.5150814428079895,3.10011064528341,0.14730998448076182,-2.475427358140707,-0.8293510300297512
124,126,1.7854975570409337e-05,3.8177360155666413,-1.666274500985618,0.5894834905467929,0.38367693112413825
125,127,1.1844431432827513e-05,3.8097454965297413,-1.9496347598300743,0.13668913403900693,4.669991008146747
126,128,0.5158253091706887,3.143009558317794,0.05925187875914721,-1.640302379184852,-0.09519272149848515
127,129,1.1574511288611726e-08,2.8456054557083936,0.6254647279078883,-4.342285560266628,-2.452363577284629
128,130,0.14792801136912337,2.805454736328003,-0.16819000046586144,-4.100272639324025,-1.8520209693786958
129,131,0.6767689458675775,3.4017706350194143,0.029814615716166414,-0.952790482091133,-0.2672744946385465
130,132,2.950206432947996e-08,3.6025308539673193,-9.305098381133687,-2.9481970051080153,2.428003840172981
131,133,0.5443392809212113,3.2599388350055656,-0.2219367860853133,-1.747214062464473,-0.07213561618420736
132,134,0.5912213458391478,3.313626563807904,-0.23941283752179607,-1.1942414417660001,-0.32352863941709203
133,135,1.5876453931186014e-05,3.826974637680086,-1.3375594588845747,-2.3164020828253444,3.989434058794928
134,136,0.10831987907055397,3.715853468525567,-2.792918434308287,-3.6079713566448888,2.724410614694115
135,137,0.20954008797238186,2.9191233849064564,0.2979614963849682,-3.587072413541062,-1.2310487692456087
136,138,0.4954414623741708,3.154098101509071,-0.13520564504505236,-1.9203539211438185,-0.2920159059163065
137,139,1.2842177599291976e-05,3.8409480331401062,-0.8419126463311263,-4.136211764859669,3.1147249764228895
138,140,1.594704362896623e-05,2.8374165171551575,0.31001621385403244,-4.55219515856758,-2.3272559904712415
139,141,0.5986827808309403,3.304823552081492,0.14050906815876651,-1.8908212837113718,-2.1942710679435473
140,142,9.091314693917089e-06,2.719110331183001,-0.470833283958314,-5.543008803084376,-1.0898172149278664
141,143,1.908236404409395e-05,3.7982467277684586,-2.3573473212943394,-3.9234466866079765,2.991647837943938
142,144,8.547101171437135e-09,2.8538348702423972,0.912757147970802,-4.382616698152855,-2.4283102299112147
143,145,1.1732903819035092e-05,3.8190805307332583,-1.6184789097918162,-4.027344484785555,3.051558881728399
144,146,0.12392120968797042,2.7840359418469953,-0.8779229172762877,-4.249144535936163,-2.107209542932182
145,147,0.5681989209815368,3.316136479248934,-0.08953287034575874,-1.6208875043762276,-0.24400981698390906
146,148,1.035672714221954e-07,2.8193206992868016,-0.6852715114211575,-7.494514870515533,-0.5723861044304205
147,149,0.15328828519067147,2.9040458817962986,-0.26186722830043846,-4.146963681761811,-1.6959708371608544
148,150,0.24751100433604226,3.6043470714615,-0.9187504333231877,-1.9275180456648948,1.9325076897726572
149,151,0.4690665537838612,2.919094479714644,-0.15038923567236248,-1.744598588450722,-1.345387572607897
150,152,0.14476164605870248,2.8352726612497703,-0.9132674760630005,-4.133491348264536,-1.953160790149126
151,153,0.230597832096909,2.832827915741101,0.8350657656027568,-2.6196718971361435,-0.8297110916127484
152,154,0.15572347983839255,3.655724504349515,-2.1549912862592375,-2.732446360700424,2.786182288829296
153,155,0.551511424379084,3.075567279881714,0.23918832263088746,-1.9783119219314556,-0.8161114854948816
154,156,0.4259280167749448,3.249449283187179,0.07945879605577812,-2.303122790370662,-1.02841366723797
155,157,0.5931328091545869,3.292964764363256,0.08755787713361758,-1.423380592890691,0.011425647342925142
156,158,0.5196919899272557,3.3321462573515412,-0.17672072892004284,-1.431622160120476,-0.756804893597946
157,159,0.6034176203218808,3.3636740519759862,0.041321000861466076,-1.4765767036960984,-0.41024504497254544
158,160,7.398184389285526e-05,2.9535408569636035,-3.199723392861685,-6.169473276885884,-0.2140031756697235
159,161,0.30423088943204635,3.659543242907124,-0.6640340275548935,-0.8586674900043793,1.3618989017832415
160,162,1.645028205004104e-05,3.7917546803357625,-2.588442338041073,-3.890990709889801,2.973041062180665
161,163,1.9597153249897e-08,3.6025309021944687,-9.305096956738884,-2.948197224651926,2.4280040868218262
162,164,0.1076173074736307,2.804976712119122,-0.9347869393888935,-4.627154299803126,-2.0335272246288336
163,165,0.6685262769923807,3.3136153130070665,0.09252538288565458,-0.9911793269390261,-0.1607849702333912
164,166,0.2759946652638418,3.6039996292089502,-1.064743812423718,-1.3858843537189822,1.942700464213788
165,167,5.718404474360298e-06,2.71872817754737,-1.2021649893186828,-5.574022960779282,-1.2017828140626208
166,168,0.44432044561279704,3.1715401400777705,-0.004384148573701766,-2.1888913016827947,-0.8649566552590123
167,169,0.23999205592360312,2.8711400160504414,0.11902320479066632,-3.2133791312795807,-1.0078538898693488
168,170,0.5443705312988952,3.1874886284127197,-0.04508095937931044,-1.5262207811550847,-0.1445704155125561
169,171,0.4810934950557065,3.0783879035280384,0.2359566266692456,-2.4620743529538136,-1.0156703630823078
170,172,6.837462790648181e-06,2.84814769365395,0.7145454814958861,-4.354765402537147,-2.4449274955304423
171,173,0.46296859346288094,3.1103767844656014,-0.25299401300346286,-2.1141406147608164,-0.23113332182719876
172,174,2.5515906521783457e-05,3.766477439645615,-3.4856007825905326,-1.2753266201452038,4.2018125639742685
173,175,0.49215798526656224,3.2233905023234364,0.07940430609396339,-2.0804461284635187,-0.5398866459009338
174,176,4.34054686576248e-06,3.82744971004573,-1.3211769770407382,-2.13094099321876,4.088882748753273
175,177,0.6127462586723358,3.3939332673841687,-0.03504596680035176,-1.2261691982576899,-0.4097535062673958
176,178,7.90187168469699e-07,2.8541830749507477,0.9249064104977662,-4.384315981279603,-2.4272983549159037
177,179,0.5402318816455869,3.0903078854269572,0.18659133700091526,-1.8209120499351819,-1.1337467735469526
178,180,0.14293015929104447,2.830649382531703,-0.46884718523916535,-4.44629767810764,-1.91060845273772
179,181,1.5498048568183472e-07,2.8193259512877837,-0.685095919980025,-7.494605128483558,-0.5723321714332381
180,182,0.1369771647194784,2.6921698162984518,1.038649138912212,-3.2451028364299304,-1.523977894828268
181,183,0.47239723847213816,3.16545619524742,-0.07679896887223085,-2.155996299221941,-0.38605531472107835
182,184,0.10158646535025768,3.748664189456627,-2.9222699158520182,-3.523140320719818,2.9748374753175653
183,185,0.3963881128450543,3.105449201379121,-0.33905884342007553,-2.6762025490321033,-0.8043583658589635
184,186,1.4236334797123165e-05,3.803190221228059,-2.1828632958863325,-0.900485276995421,4.599015091993985
185,187,0.5152989858253967,3.0698301650084043,0.13999232165908793,-2.442770964136807,-0.7461787032148303
186,188,0.5323057532382129,3.287243062722692,-0.03429656588796232,-1.6005029017273322,-0.6799494873120558
187,189,8.569355926416775e-09,2.853834871318728,0.9127570493649759,-4.382616697349052,-2.428310253273595
188,190,1.1753147436228203e-07,2.819321971440963,-0.685232222936863,-7.494537146035299,-0.5723736886543618
189,191,2.7477397225559288e-05,3.8139938076275524,-1.7976969297433107,-4.001940460014622,3.0369076693144144
190,192,0.4280070814937118,3.004436811688414,-0.08786602510817394,-2.3363096039625435,-1.6326773210876695
191,193,0.14886190533930777,3.6847290267120205,-1.7385276204495732,-2.927316956651355,2.6937049736557266
192,194,3.932362777797092e-07,3.024794978098338,-9.305087529870175,-2.948193747460698,-0.7407699572988756
193,195,0.4725637024846884,3.083832297279542,0.16336315434952037,-2.1725062862097677,-1.5445818928836939
194,196,0.04460396227703282,2.5298908561784184,0.587801624534937,-1.1588196662229435,-2.0995498964442567
195,197,0.18692192943886987,2.8346695420163757,0.1563801622218477,-3.9907634516473602,-1.487777761333507
196,198,0.5710492745448127,3.031293063999014,0.310071494895392,-2.078367244223101,-1.2347851597969093
197,199,0.5731041154221277,3.270590112362413,-0.11835178090665098,-1.3944182472640776,-0.24724935970966305
198,200,0.6968744824088582,3.275006562185796,0.16560578202015028,-1.8510404351404792,-0.6872100800695526
199,201,0.1009156469336588,2.744925223627045,-2.146893214595709,-3.9219142673372325,-2.36650960064572
200,202,0.4274375992601299,3.2173280107287807,0.0014263957265939664,-2.5844974884922984,-0.8664963599773486
201,203,0.45698538894064394,3.079962330494102,-0.2736002496773802,-1.9882784454316056,-0.5372986521575597
202,204,0.1323188460989899,3.165573927388628,-1.6594543610400947,-3.0073442584695886,0.012891945289830412
203,205,1.148761034786293e-05,2.771275154853125,-2.8110367152473374,-6.373555064124024,-1.1553542655939302
204,206,2.0347466176720798e-07,2.819328664979007,-0.6850048365375523,-7.494650816635268,-0.5723049654281147
205,207,1.9911206272493857e-05,2.7572100799301693,-2.460192721963744,-3.909024288954875,-2.7106382464416363
206,208,0.7076114976716065,3.3111845114556235,0.02853957136299537,-1.4067021237500668,-0.7325623523915207
207,209,1.634771243341977e-05,3.8182364149553623,-1.6489527483064916,-0.7468920292184718,4.761804026526772
208,210,0.24636329701828089,3.38801771791211,-0.972257322526267,-1.882371085244316,0.12458554584040911
209,211,0.15714051907649262,2.8175609374666903,-1.3258975651337244,-4.193920251480813,-1.7543381461365548
210,212,1.714060361566922e-05,3.7148810269755796,-5.317234795991916,-5.05119317457099,3.6433185740301774
211,213,1.851674410295236e-05,3.8285817905534136,-1.2804648969409815,0.3463232657200051,0.5242039782781128
212,214,0.49338024038114486,2.9016885955531797,-0.2507402356110207,-1.5747975808073535,-1.1054877721600973
213,215,0.16221238818205277,3.2401538820614832,-1.8275351148523553,-2.8480837633316543,0.8299278981327423
214,216,0.6590598206044761,3.1279871144847156,0.1841604251685539,-1.4450530261015204,-0.5870423951471077
215,217,0.49008906231087573,3.2373339097376714,0.057779788139264314,-1.7698869757440747,-0.8785888977358656
216,218,0.13717308206487344,3.7274882608738737,-2.5398273727338156,-2.876427560242688,3.1794168600976653
217,219,0.23397402219282581,2.8656673429485315,0.8618431759058848,-2.861868785262048,-0.7095241146730298
218,220,0.5791874466080953,3.0609043375219036,0.502136097419598,-2.4562856822384496,-0.7344118162250629
219,221,1.3804297973712963e-05,3.78557138659752,-2.8064651606509865,-1.0803051617996131,4.40849674850125
220,222,0.5887195324242437,3.485167477225329,0.031393161077272726,-0.7422992492206013,-1.20884109159856
221,223,0.1501539737614665,2.8969518924478956,-0.2692825492557402,-4.539868009005239,-1.541017057513913
222,224,0.12591360383430988,3.225192523030307,-2.102642356227131,-3.6519385769450636,0.07470832595060503
223,225,0.18495454932414226,2.7804685829478033,0.7924751892230368,-2.4193222075623595,-1.300019746859771
224,226,2.2455913773789383e-05,2.7739574624405967,-1.8759317287683388,-3.991293696275873,-2.6616846607421887
