model,wear_rmse_mm,wear_mae_mm,wear_r2,event_life_mae_min,event_life_median_abs_error_min,censor_bound_satisfied_rate
Phase2Equation,0.09691979226609626,0.045969411337983525,-0.8811327500040638,5.383173813079303,3.448942869132523,1.0
Ridge,0.050548154456885,0.04068355297525956,0.48831215218811064,6.700956529593425,4.271612344268763,0.75
RandomForest,0.04570319312774606,0.03368243593092169,0.581700271363159,8.984670141802201,2.7929649113021924,1.0
GradientBoosting,0.03937259180174768,0.031044550262456852,0.6895565481437826,11.655497497405083,4.271612344268763,1.0
GaussianProcess,0.060660812895165825,0.045914260213046974,0.2630959440561732,16.192334311331052,4.89284208359944,1.0
MLP,0.11587745148885062,0.09561156302720926,-1.6890096790528566,19.033384350312883,11.01520653428199,0.5
