model,speed_rpm,feed_mm_tooth,depth_mm,life_min,event
Ridge,1775.0,0.0475,3.0,78.27172492968,1
Ridge,1775.0,0.0475,3.25,77.6615713533821,1
Ridge,1775.0,0.0475,3.5,77.0856297166038,1
Ridge,1775.0,0.04875,2.5,66.31424991024066,1
Ridge,1775.0,0.04875,2.75,65.6082564383757,1
Ridge,1775.0,0.04875,3.0,64.95318521318791,1
Ridge,1775.0,0.04875,3.25,64.34199561394037,1
Ridge,1775.0,0.04875,3.5,63.76839983304061,1
Ridge,1775.0,0.05,2.5,56.76417504352647,1
Ridge,1775.0,0.05,2.75,56.080607680738765,1
Ridge,1775.0,0.05,3.0,55.44888305596371,1
Ridge,1775.0,0.05,3.25,54.8614949355187,1
Ridge,1775.0,0.05,3.5,54.312216052852456,1
Ridge,1775.0,0.05125,2.5,49.43599455094637,1
Ridge,1775.0,0.05125,2.75,48.783666215063846,1
Ridge,1775.0,0.05125,3.0,48.18234391070652,1
Ridge,1775.0,0.05125,3.25,47.624532765022394,1
Ridge,1775.0,0.05125,3.5,47.10414454090367,1
Ridge,1775.0,0.0525,2.5,43.57974148598822,1
Ridge,1775.0,0.0525,2.75,42.96014847934505,1
Ridge,1775.0,0.0525,3.0,42.39014757672409,1
Ridge,1775.0,0.0525,3.25,41.862420196317004,1
Ridge,1775.0,0.0525,3.5,41.370837228041076,1
Ridge,1775.0,0.05375,2.5,38.76786372361341,1
Ridge,1775.0,0.05375,2.75,38.18018007092578,1
Ridge,1775.0,0.05375,3.0,37.64047572484285,1
Ridge,1775.0,0.05375,3.25,37.14146524678239,1
Ridge,1775.0,0.05375,3.5,36.67735227401947,1
Ridge,1775.0,0.055,2.5,34.73266019293628,1
Ridge,1775.0,0.055,2.75,34.17525986209887,1
Ridge,1775.0,0.055,3.0,33.664082303975924,1
Ridge,1775.0,0.055,3.25,33.191998081168926,1
Ridge,1775.0,0.055,3.5,32.7533362329794,1
Ridge,1787.5,0.045,2.5,80.0,0
Ridge,1787.5,0.045,2.75,80.0,0
Ridge,1787.5,0.045,3.0,80.0,0
Ridge,1787.5,0.045,3.25,80.0,0
Ridge,1787.5,0.045,3.5,80.0,0
Ridge,1787.5,0.04625,2.5,80.0,0
Ridge,1787.5,0.04625,2.75,80.0,0
Ridge,1787.5,0.04625,3.0,80.0,0
Ridge,1787.5,0.04625,3.25,80.0,0
Ridge,1787.5,0.04625,3.5,80.0,0
Ridge,1787.5,0.0475,2.5,69.11590873240957,1
Ridge,1787.5,0.0475,2.75,68.44879846439962,1
Ridge,1787.5,0.0475,3.0,67.82964907346268,1
Ridge,1787.5,0.0475,3.25,67.25117262312561,1
Ridge,1787.5,0.0475,3.5,66.70802609521942,1
Ridge,1787.5,0.04875,2.5,59.16761529221647,1
Ridge,1787.5,0.04875,2.75,58.51253686813154,1
Ridge,1787.5,0.04875,3.0,57.90669704287205,1
Ridge,1787.5,0.04875,3.25,57.3430532437357,1
Ridge,1787.5,0.04875,3.5,56.81562424642156,1
Ridge,1787.5,0.05,2.5,51.544210913973316,1
Ridge,1787.5,0.05,2.75,50.913516032411756,1
Ridge,1787.5,0.05,3.0,50.332169368586115,1
Ridge,1787.5,0.05,3.25,49.792455359698195,1
Ridge,1787.5,0.05,3.5,49.288620932898894,1
Ridge,1787.5,0.05125,2.5,45.457697427503255,1
Ridge,1787.5,0.05125,2.75,44.85537554859425,1
Ridge,1787.5,0.05125,3.0,44.30118638180321,1
Ridge,1787.5,0.05125,3.25,43.78765769198915,1
Ridge,1787.5,0.05125,3.5,43.3090810010213,1
Ridge,1787.5,0.0525,2.5,40.460287557545335,1
Ridge,1787.5,0.0525,2.75,39.88658394638463,1
Ridge,1787.5,0.0525,3.0,39.35956782656001,1
Ridge,1787.5,0.0525,3.25,38.87194320743065,1
Ridge,1787.5,0.0525,3.5,38.418265746657944,1
Ridge,1787.5,0.05375,2.5,36.2718506201741,1
Ridge,1787.5,0.05375,2.75,35.726040646098255,1
Ridge,1787.5,0.05375,3.0,35.225199462290924,1
Ridge,1787.5,0.05375,3.25,34.76237531442636,1
Ridge,1787.5,0.05375,3.5,34.33204213314681,1
Ridge,1787.5,0.055,2.5,32.70546046698827,1
Ridge,1787.5,0.055,2.75,32.185995313170494,1
Ridge,1787.5,0.055,3.0,31.709896784413147,1
Ridge,1787.5,0.055,3.25,31.270360624913394,1
Ridge,1787.5,0.055,3.5,30.86206660802501,1
Ridge,1800.0,0.045,2.5,80.0,0
Ridge,1800.0,0.045,2.75,80.0,0
Ridge,1800.0,0.045,3.0,80.0,0
Ridge,1800.0,0.045,3.25,80.0,0
Ridge,1800.0,0.045,3.5,80.0,0
Ridge,1800.0,0.04625,2.5,72.16712808852631,1
Ridge,1800.0,0.04625,2.75,71.53918639632606,1
Ridge,1800.0,0.04625,3.0,70.95569226208794,1
Ridge,1800.0,0.04625,3.25,70.41038749072402,1
Ridge,1800.0,0.04625,3.5,69.89798993322127,1
Ridge,1800.0,0.0475,2.5,61.747700357159566,1
Ridge,1800.0,0.0475,2.75,61.12059306906541,1
Ridge,1800.0,0.0475,3.0,60.540397220099045,1
Ridge,1800.0,0.0475,3.25,60.00010944579957,1
Ridge,1800.0,0.0475,3.5,59.49431884237672,1
Ridge,1800.0,0.04875,2.5,53.78374982889081,1
Ridge,1800.0,0.04875,2.75,53.17442978472395,1
Ridge,1800.0,0.04875,3.0,52.612430144102426,1
Ridge,1800.0,0.04875,3.25,52.09043048871269,1
Ridge,1800.0,0.04875,3.5,51.60286702603263,1
Ridge,1800.0,0.05,2.5,47.436814931315055,1
Ridge,1800.0,0.05,2.75,46.85142470540051,1
Ridge,1800.0,0.05,3.0,46.31246634527667,1
Ridge,1800.0,0.05,3.25,45.812811891158205,1
Ridge,1800.0,0.05,3.5,45.346926319276115,1
Ridge,1800.0,0.05125,2.5,42.232626250386375,1
Ridge,1800.0,0.05125,2.75,41.67262978273238,1
Ridge,1800.0,0.05125,3.0,41.15787784102355,1
Ridge,1800.0,0.05125,3.25,40.68146502795833,1
Ridge,1800.0,0.05125,3.5,40.237903814162635,1
Ridge,1800.0,0.0525,2.5,37.875201073016676,1
Ridge,1800.0,0.0525,2.75,37.3406439043486,1
Ridge,1800.0,0.0525,3.0,36.84983441637416,1
Ridge,1800.0,0.0525,3.25,36.39612928565897,1
Ridge,1800.0,0.0525,3.5,35.97422845015854,1
Ridge,1800.0,0.05375,2.5,34.168109704227525,1
Ridge,1800.0,0.05375,2.75,33.65796137817915,1
Ridge,1800.0,0.05375,3.0,33.19019574111964,1
Ridge,1800.0,0.05375,3.25,32.75815609307391,1
Ridge,1800.0,0.05375,3.5,32.35658372268445,1
Ridge,1800.0,0.055,2.5,30.973504135277544,1
Ridge,1800.0,0.055,2.75,30.486634576042203,1
Ridge,1800.0,0.055,3.0,30.040550920250528,1
Ridge,1800.0,0.055,3.25,29.628956066544422,1
Ridge,1800.0,0.055,3.5,29.24696001131803,1
Ridge,1812.5,0.045,2.5,75.50658674201891,1
Ridge,1812.5,0.045,2.75,74.91873729583386,1
Ridge,1812.5,0.045,3.0,74.37208823117257,1
Ridge,1812.5,0.045,3.25,73.8606762778727,1
Ridge,1812.5,0.045,3.5,73.3797981658088,1
Ridge,1812.5,0.04625,2.5,64.53046289846112,1
Ridge,1812.5,0.04625,2.75,63.93137188407164,1
Ridge,1812.5,0.04625,3.0,63.376866984529656,1
Ridge,1812.5,0.04625,3.25,62.86018045768366,1
Ridge,1812.5,0.04625,3.5,62.37615753097172,1
Ridge,1812.5,0.0475,2.5,56.17363651835081,1
Ridge,1812.5,0.0475,2.75,55.58567828838165,1
Ridge,1812.5,0.0475,3.0,55.042823944804034,1
Ridge,1812.5,0.0475,3.25,54.53837244679404,1
Ridge,1812.5,0.0475,3.5,54.0669921995825,1
Ridge,1812.5,0.04875,2.5,49.531742666180804,1
Ridge,1812.5,0.04875,2.75,48.96288538713837,1
Ridge,1812.5,0.04875,3.0,48.43885592322579,1
Ridge,1812.5,0.04875,3.25,47.95289355137945,1
Ridge,1812.5,0.04875,3.5,47.499624911577456,1
